time,growth_rate,length
1207078192,11.3914,395.7144
1207081792,11.3914,396.1891
1207085392,11.3914,396.6637
1207088992,11.3914,397.1384
1207092592,11.3914,397.613
1207096192,11.3914,398.0876
1207099792,11.3914,398.5623
1207103392,11.3914,399.0369
1207106992,11.3914,399.5116
1207110592,11.3914,399.9862
1207114192,11.3914,400.4608
1207117792,11.3914,400.9355
1207121392,11.3914,401.4101
1207124992,11.3914,401.8848
1207128592,11.3914,402.3594
1207132192,11.3914,402.834
1207135792,11.3914,403.3087
1207139392,11.3914,403.7833
1207142992,11.3914,404.258
1207146592,11.3914,404.7326
1207150192,11.3914,405.2072
1207153792,11.3914,405.6819
1207157392,11.3914,406.1565
1207160992,11.3914,406.6312
1207164592,11.3914,407.1058
1207168192,11.3914,407.5804
1207171792,11.3914,408.0551
1207175392,11.3914,408.5297
1207178992,11.3914,409.0044
1207182592,11.3914,409.479
1207186192,11.3914,409.9536
1207189792,11.3914,410.4283
1207193392,11.3914,410.9029
1207196992,11.3914,411.3776
1207200592,11.3914,411.8522
1207204192,11.3914,412.3268
1207207792,11.3914,412.8015
1207211392,11.3914,413.2761
1207214992,11.3914,413.7508
1207218592,11.3914,414.2254
1207222192,11.3914,414.7
1207225792,11.3914,415.1747
1207229392,11.3914,415.6493
1207232992,11.3914,416.124
1207236592,11.3914,416.5986
1207240192,11.3914,417.0732
1207243792,11.3914,417.5479
1207247392,11.3914,418.0225
1207250992,11.3914,418.4972
1207254592,11.3914,418.9718
1207258192,11.3914,419.4464
1207261792,11.3914,419.9211
1207265392,11.3914,420.3957
1207268992,11.3914,420.8704
1207272592,11.3914,421.345
1207276192,11.3914,421.8196
1207279792,11.3914,422.2943
1207283392,11.3914,422.7689
1207286992,11.3914,423.2436
1207290592,11.3914,423.7182
1207294192,11.3914,424.1928
1207297792,11.3914,424.6675
1207301392,11.3914,425.1421
1207304992,11.3914,425.6168
1207308592,11.3914,426.0914
1207312192,11.3914,426.566
1207315792,11.3914,427.0407
1207319392,11.3914,427.5153
1207322992,11.3914,427.99
1207326592,11.3914,428.4646
1207330192,11.3914,428.9392
1207333792,11.3914,429.4139
1207337392,11.3914,429.8885
1207340992,11.3914,430.3632
1207344592,11.3914,430.8378
1207348192,11.3914,431.3124
1207351792,11.3914,431.7871
1207355392,11.3914,432.2617
1207358992,11.3914,432.7364
1207362592,11.3914,433.211
1207366192,11.3914,433.6856
1207369792,11.3914,434.1603
1207373392,11.3914,434.6349
1207376992,11.3914,435.1096
1207380592,11.3914,435.5842
1207384192,11.3914,436.0588
1207387792,11.3914,436.5335
1207391392,11.3914,437.0081
1207394992,11.3914,437.4828
1207398592,11.3914,437.9574
1207402192,11.3914,438.432
1207405792,11.3914,438.9067
1207409392,11.3914,439.3813
1207412992,11.3914,439.856
1207416592,11.3914,440.3306
1207420192,11.3914,440.8052
1207423792,11.3914,441.2799
1207427392,11.3914,441.7545
1207430992,11.3914,442.2292
1207434592,11.3914,442.7038
1207438192,11.3914,443.1784
1207441792,11.3914,443.6531
1207445392,11.3914,444.1277
1207448992,11.3914,444.6024
1207452592,11.3914,445.077
1207456192,11.3914,445.5516
1207459792,11.3914,446.0263
1207463392,11.3914,446.5009
1207466992,11.3914,446.9756
1207470592,11.3914,447.4502
1207474192,11.3914,447.9248
1207477792,11.3914,448.3995
